kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
hochudeneg13;0;2;0;2;0;2;0;2;0;2;0;2;1.95;3;2.1;6;2.1;6;2.1;6;2.1;6;2.1;7;3.42;9;3.3;12;3.86;13;4.02;17;4.02;17;4.01;21;4.01;21;4.01;21;4.1;26;1.9;28;7.81;29;8.05;31;7.54;33;8.59;36;8.59;36;8.59;36;8.59;36;8.59;36
Fidch;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;2.45;2;4.7;4;8.58;6;8.36;7;8.36;9;6.41;11
Karelia10;1.04;3;1.04;3;1.04;3;1.04;3;1.04;3;0.76;5;3.02;7;1.63;8;2.81;9;3.82;10;5.07;11;5.07;11;6.6;12;7.81;13;7.81;13;6.42;14;8.9;16;8.7;17;6.62;18;3.85;19;4.98;20;4.98;23;6.51;24;7.27;25;5.89;27;4.69;29;3.3;30;3.3;31;6.02;34;6.02;34
Redington;0;4;0;4;0;4;-1.58;5;-2.92;10;-2.92;10;-2.92;10;-2.92;10;-2.92;10;-2.92;10;-2.92;10;-2.92;10;-12.38;13;-12.38;13;7.41;19;2.48;24;9;25;-1.31;27;-1.31;27;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31;-7.23;31
KillaProof;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0.59;8;4.04;10;4.04;11;2.07;12;2.07;12;2.07;12;2.07;12;2.07;12;2.07;12
demidoff99;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;1.76;8;9.88;16;27.88;24;30.12;28;11.56;31;11.56;31
nik__minsk;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;1.45;6;1.45;6;11.11;8;11.11;8;10.34;11;10.34;11;10.34;11;10.34;11;10.34;11
ivan789;0;1;2;2;2;2;-2.58;3;-2.58;3;-1.32;5;-1.52;6;0.3;7;0.3;7;0.3;7;0.3;7;1.09;10;7.86;13;6.86;16;5.94;18;10.78;20;15.52;22;21;24;19.65;27;13.69;32;-4.05;36;1.3;38;6.34;40;11.73;41;15.54;42;14.67;45;5.12;48;5.12;48;5.12;48;5.12;48
skorpion85;0;3;-5.2;4;-9.94;5;-9.94;5;-9.94;5;-9.94;5;-9.94;5;-9.94;5;-9.94;5;-9.94;5;-2.72;8;-2.72;8;-3.27;9;0.89;10;0.89;10;0.89;10;0.89;12;0.89;12;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13;2.31;13
marina2901;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0.95;3;2.26;5;2.26;5;3.32;8;4.35;10;4.35;10;5.26;11;5.85;12;5.85;12;5.85;12;5.85;12;5.85;12;5.85;14;4.16;15;4.53;16;4.53;16;4.53;16;4.53;16;5.5;17;5.5;17;3.66;18;3.66;18
dasher;0;2;0.45;3;0.45;3;0.45;3;0.45;3;0.45;3;0.45;4;1.33;5;1.33;5;1.73;6;1.88;7;1.88;7;1.88;7;2.22;8;2.22;8;2.22;8;2.22;8;2.65;9;2.65;9;2.65;9;3.11;10;3.11;10;3.11;10;3.11;10;3.11;10;3.11;10;3.36;11;3.67;12;3.67;12;3.67;12
