kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
zaharttf;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+12.45;4;+7.08;7;+11.94;8;+7.47;11;+22.99;13;+16.26;17;+16.26;17;+16.26;17;+16.26;17;+16.26;17;+16.26;17;+27.11;20;+27.11;20;+27.11;20;+27.11;20;+27.11;20;+27.11;20;+27.11;20;+27.11;20
krasik1005;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+4.95;3;+4.95;3;+4.95;3;+4.95;3;+10.90;4;+0.39;5;+7.34;12;+11.46;15;+11.46;15;+9.85;23;+7.42;30;+7.42;30;+7.42;30;+7.42;30;+7.42;30;+7.42;30;+7.42;30;+7.42;30
gmen9 Seme4ek;0.00;1;0.00;3;+3.92;4;+3.92;4;+3.92;4;+3.92;4;+3.92;4;+3.92;4;+0.82;6;+3.68;7;+0.58;8;+3.29;9;+3.29;9;+3.29;9;+3.29;9;+0.19;10;+0.19;11;+0.19;11;+3.26;12;+5.87;14;+5.87;14;+5.87;14;+5.35;15;+5.35;15;+5.35;15;+5.35;15;+5.35;15;+5.35;15;+5.35;15;+5.35;15
sasha.sotchenko;+3.26;3;+3.26;3;+3.26;3;+3.26;5;-1.15;6;+3.43;8;+3.43;8;+3.43;8;+3.43;8;-6.63;10;-6.63;10;+2.56;13;+2.56;13;+2.56;14;+1.69;15;+6.72;17;+2.24;18;+5.95;20;+16.79;21;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22;+10.96;22
bshr98;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+4.89;3;+9.10;5;+3.74;7;+3.74;7;+2.27;10;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15;+6.61;15
andreas.haas;0.00;1;+1.57;2;+3.29;3;+3.29;3;+3.29;3;+4.94;4;+4.94;4;+4.94;4;+4.94;4;+4.94;4;+1.28;5;+2.74;6;+4.39;7;+4.39;7;+4.39;7;+4.39;7;+5.84;8;+5.84;8;+7.58;9;+9.78;10;+9.78;10;+9.78;10;+9.78;10;+4.30;12;+4.30;12;+4.30;12;+4.30;12;+4.30;12;+4.30;12;+4.30;12
ProStaver;0.00;1;+9.97;3;+5.36;4;+5.36;4;+14.88;7;+18.54;10;+26.48;12;+41.07;15;+43.24;17;+29.30;18;+29.30;18;+29.30;18;+36.50;21;+23.90;28;+23.90;28;+23.90;28;+23.90;28;+23.90;28;+23.90;28;+23.90;28;+23.90;28;+23.90;28;+9.72;33;+9.72;33;+9.72;33;+9.72;33;+9.72;33;+9.72;33;+9.72;33;+9.72;33
zinaida1989;0.00;5;0.00;5;0.00;5;0.00;5;+8.84;11;+4.99;12;+4.99;12;-0.24;20;-0.24;20;-0.24;20;-0.24;20;-0.24;20;-0.24;20;-0.24;20;-0.24;20;-0.24;20;+4.59;23;+1.02;24;+1.02;24;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25;+2.68;25
UncleAha;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+4.05;3;+5.65;4;+5.65;4;+2.18;6;+2.18;6;+2.18;6;+2.18;6;+3.08;8;+3.94;12;+3.94;12;+3.94;12;+10.73;13;+10.73;13;+6.30;16;+6.30;16;+6.30;16;+6.30;16;+6.30;16;+6.30;16;+6.30;16;+6.30;16;+6.30;16;+6.30;16
Kazakh Kapper;+3.40;5;+11.19;11;-9.67;17;-11.02;21;-11.02;21;-7.01;22;-7.01;22;-4.59;23;-1.30;24;-6.87;26;-5.91;28;-7.02;29;-4.28;30;-4.28;30;-4.28;30;+0.68;32;+0.68;32;+0.68;32;+7.58;34;+7.58;34;+11.12;35;+5.42;36;+5.42;36;+6.08;39;+6.08;39;+6.08;39;+6.08;39;+6.08;39;+6.08;39;+6.08;39
hochudeneg13;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+0.78;2;+0.78;4;+1.00;5;-3.69;8;+6.38;10;+6.25;14;+6.77;15;+6.26;16;+6.26;16;+6.26;16;+7.00;17;+7.00;17;+6.74;19;+6.74;19;+6.74;19;+6.74;19;+6.74;19;+6.74;19;+6.74;19
Chelust;0.00;3;0.00;4;+1.31;5;+1.31;5;+1.31;5;+1.31;5;+1.31;5;+1.31;5;+1.31;5;+1.31;5;+1.31;5;+6.27;6;+6.27;6;+10.13;7;+10.13;7;+10.13;7;+10.13;7;+4.65;8;-0.57;10;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11;+9.25;11
askon56;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;0.00;4;+3.43;7;+14.97;10;+2.78;13;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14;+3.47;14
VALEROSO;0.00;2;0.00;2;0.00;2;0.00;2;0.00;2;0.00;2;0.00;2;0.00;2;0.00;2;0.00;2;+1.98;3;+3.88;4;+9.13;5;+3.69;6;+3.69;6;+3.69;6;+3.69;6;+0.60;8;+5.80;12;-4.52;13;-4.52;14;+0.96;16;+0.96;16;+0.96;16;+0.96;16;+0.96;16;+0.96;16;+0.96;16;+0.96;16;+0.96;16
vasilenko.andrey;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;-4.97;2;-4.11;4;-3.33;5;-2.43;9;-3.58;16;+0.47;18;+1.54;19;+1.60;20;+1.60;20;+1.60;20;+1.60;20;+1.60;20;+1.60;20;+1.60;20
JGB;0.00;1;+1.43;2;+1.43;2;+1.43;2;-0.16;3;-0.16;3;-0.16;3;+0.68;4;+0.68;4;+0.68;4;+1.62;5;+1.62;5;+2.52;6;+2.52;6;+0.94;7;+0.94;7;+0.94;8;+0.94;8;+0.94;10;+2.33;11;+3.38;13;+4.04;15;+4.04;15;+4.04;15;+4.04;15;+4.04;15;+4.04;15;+4.04;15;+4.04;15;+4.04;15
mrpinksteve;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+3.18;2;+5.87;3;+8.21;4;+4.42;5;+9.50;6;+12.26;7;+8.54;8;+11.92;10;+0.66;13;+0.66;13;-2.36;15;-9.09;21;-9.60;23;-4.69;24;-8.67;26;-2.58;29;+1.17;30;+1.17;30;+1.17;30;+1.17;30;+1.17;30;+1.17;30;+1.17;30
kartuch;-1.75;12;-25.41;17;-23.53;22;-26.99;31;-28.24;34;-23.20;38;-25.43;46;-23.65;56;-19.47;61;-13.27;71;-5.30;80;-2.92;91;+5.61;98;+1.96;111;-0.70;114;+3.56;123;-1.54;132;+0.93;139;+0.10;145;+7.49;152;+6.38;154;-0.43;160;-4.29;168;-8.30;180;-8.30;180;-8.30;180;-8.30;180;-8.30;180;-8.30;180;-8.30;180
KpacaBa_;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;0.00;3;+10.20;4;+13.27;6;+11.56;8;+2.59;10;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12;+2.89;12
IceFiXed;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;0.00;7;+18.98;15;+12.33;18;+12.66;22;+7.85;30;+22.24;38;+5.87;46;+7.49;53;+14.60;61;+17.82;69;+27.48;77;+27.48;77;+27.48;77;+27.48;77;+27.48;77;+27.48;77;+27.48;77
cilon40;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+3.73;2;+8.33;3;+15.22;5;+13.03;8;+7.13;9;+1.78;10;+1.78;10;+1.78;10;+1.78;10;+1.78;10;+4.86;11;+10.07;13;+7.81;15;+7.81;15;+7.81;15;+7.81;15;+7.81;15;+7.81;15;+7.81;15
alexcuba;0.00;6;-2.46;10;-2.46;10;-2.46;10;-4.59;19;-4.59;19;-4.59;19;-10.13;24;+4.56;28;+5.13;31;+5.13;31;+6.12;34;+6.12;34;+6.12;35;+6.12;40;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42;+9.00;42
