kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
1%cf%ee%e6%e8%eb%e0%ff+%d7%e5%e1%f3%f0%e0%f8%ea%e01;5.43;6;4.59;9;-1.25;10;-1.25;10;-1.25;10;-1.25;10;-1.25;10;-1.25;10;-1.25;10;-1.25;10;3.54;11;3.54;11;-1.58;17;-1.58;17;4.37;25;17.18;29;24.69;32;34.56;40;20.13;48;32.7;53;35.7;57;29.28;59;29.28;59;29.28;59;29.28;59;22.83;61;18.02;67;3.55;68;-1.58;69;-1.58;69
evgeni071;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;2.85;8;2.85;8;2.85;8;2.85;8;2.85;8;2.85;8;2.85;8;2.85;8;2.85;8;2.85;8;28.91;15;10.77;20;10.77;20;10.77;20;4.33;25;2.19;29;-2.73;37;-2.73;37
lombuuka;0;2;0;2;0;2;-0.64;3;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;-3.61;5;0.18;6;1.77;7;4.47;8;4.47;9;6;10;6;10;4.78;13;4.78;13;4.78;13;4.78;13
Mr_Simpson;0;3;0;3;0;3;0;3;0;3;0;3;0;3;1.02;4;2.48;5;2.48;5;2.93;6;2.93;6;4.19;9;4.19;10;6.82;11;6.82;11;4.37;13;0.18;14;0.18;14;0.18;14;0.18;14;0.18;14;-4.81;15;-4.81;15;-4.81;15;-1.63;17;-1.63;17;-1.63;17;-1.63;17;-1.63;17
duudeesport;0;2;5.29;3;1.09;5;1.09;5;-7.77;7;-7.77;7;-7.77;7;-7.77;7;-7.77;7;-7.77;7;-7.77;7;-7.77;7;-7.77;7;-5.21;8;-2.43;9;-6.33;11;-6.33;11;-6.33;11;-6.33;11;-6.33;11;-13.69;13;-13.69;13;-14.75;14;-10.75;15;-8.25;16;-2.07;17;-0.04;18;-4.05;19;-3.43;20;-3.43;20
Antoha1927;0;1;0;1;0;1;3.1;2;3.1;2;3.1;2;3.1;2;3.1;2;5.56;3;5.56;3;5.56;4;2.94;6;7.82;7;7.82;7;7.82;7;7.82;8;4.54;10;4.54;11;4.54;11;3.78;12;3.78;12;3.78;13;4.69;14;4.69;14;4.69;14;4.69;14;4.69;14;4.69;14;4.69;14;4.69;14
tsitsipas;0;2;-0.99;5;3.57;8;6.63;12;8.22;16;2.22;17;4.62;19;0.42;22;2.91;24;7.92;26;-1.08;33;2.25;40;-4.56;42;-2.37;43;-3.03;45;-6.03;46;-6.63;49;-6.63;49;-12.25;50;-7.51;52;0.21;54;-8.39;57;-2.91;59;1.23;61;3.64;63;-1.96;67;-4.47;69;-2.1;71;1.88;72;1.88;72
marina2901;0;1;0;1;0;1;0;1;0;1;0.97;2;2.07;3;2.07;3;2.07;3;2.07;3;0.3;5;0.3;5;0.44;9;0.44;9;1.02;10;1.47;11;-0.3;14;-0.3;14;0.32;16;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17;0.74;17
superions;16.54;11;17.98;14;11.13;19;24.83;24;35.19;28;45.24;37;39.9;41;47.57;53;58.9;56;64.17;64;75.29;70;90.06;76;71.57;82;70.43;88;62.54;94;57.8;97;47.31;103;47.31;105;27.05;107;31.69;112;22;120;17.49;122;15.91;126;4.16;130;3.44;132;2.91;133;-3.17;135;-0.79;137;1.54;141;1.54;141
BadCapper78;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;7.44;6;7.44;6;11.15;9;11.15;9;12.11;11;12.11;12;10.79;13;11.44;15;12.74;18;9;19;9;20;3.59;21;3.59;21;3.59;23;3.59;23;3.59;23;-2.71;25;-2.71;25;0.96;28;0.96;28
Anton9393;0;1;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;3.67;4;2.31;8;2.31;8;5.62;9;7.83;10;10.03;11;12.33;12;11.12;15;20.16;18;18.04;20;20.31;22;18.78;24;10.03;25;10.03;25;14.9;31;6.14;33;6.14;33;0.41;37;0.41;37
onway1986;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3.6;2;8.25;3;14.45;6;14.45;6;14.45;6;8.75;8;11.21;10;11.21;10
andrey.korablev;0;1;-1.55;3;-1.55;3;-1.55;3;0.46;4;1.06;5;1.06;5;-1.96;6;-4.38;7;-9.14;8;-11.56;9;-9.64;10;-9.64;11;-9.64;11;-12.06;12;-14.69;13;-13.75;14;-13.75;15;-11.24;16;-9.54;17;-9.54;17;-8.24;18;-6.86;19;-6.86;19;-5.57;20;-4.06;22;-0.15;23;-0.15;23;-0.15;23;-0.15;23
Odrbjj;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;16.92;8;10.43;10;9.85;12;9.96;14;9.96;14;9.96;14;9.96;14;9.96;14;9.96;14;9.96;14;9.96;14;9.96;14
Sportprognoz-Ukraine;0;3;0;3;0;3;0;3;0;3;-8.14;7;-8.14;7;-6.58;10;-4.18;11;-2.75;12;-2.75;14;-2.75;14;-2.75;14;-6.3;16;-4.84;17;-4.84;17;-3.04;18;-3.04;19;-1.43;20;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22;-0.6;22
Aysentea;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;2.13;3;0.67;7;5.39;11;5.39;11;5.39;12;3.29;14;3.55;15;3.55;15;3.55;15;3.55;15;3.55;15;3.55;15;3.55;15;3.55;15;3.55;15
kisel064064;0.68;4;0.68;4;0.68;4;0.68;4;0.68;4;0.68;4;0.68;4;0.68;4;0.33;7;2.38;9;2.38;9;7.14;16;-8.53;22;-8.53;22;-8.53;22;-0.34;27;8.93;30;10.42;32;-0.27;34;-0.54;38;13.62;42;3.1;43;5.5;44;5.5;44;5.5;44;5.5;44;5.5;44;5.5;44;5.5;44;5.5;44
Sheptoon;0;2;0.72;5;-11.69;8;-11.69;8;-11.69;8;-11.69;8;-11.69;8;-11.69;8;-11.69;9;-16.56;12;-16.56;12;-12.47;14;-12.47;14;-8.7;15;-12.68;16;-10.79;17;-10.79;17;-10.79;17;-10.79;17;-8.04;18;-8.04;18;-8.04;18;-8.04;18;-5.82;19;-8.51;21;-1.16;22;-1.16;22;-4.98;24;0.49;26;0.49;26
RussianFootball;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;3;1.48;5;6.09;7;10.71;12;5.18;13;5.18;13;5.18;13;5.18;13;5.18;13;5.18;13;5.18;13;5.18;13
Pasha_1978;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;5.63;3;7.26;6;3.76;8;3.58;13;3.58;13;3.58;13;3.58;13;3.58;13;3.58;13;-1.19;14;-1.19;14;-1.19;14;2.75;15;2.75;15;2.75;15;2.75;15;2.75;15;2.75;15;2.75;15;2.75;15
