url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
excoins.expert,expert,53,12252,262,26.32,19,0,0,0,21,7,776,1,6.44
arbitrage-inv.com,com,53,97440,252,0,4,5,1,1,0,0,368,1,4.8
bit-hours.com,com,53,160755,701,0,13,7,0,1,15,5,883,1,1.22
btcoince.com,com,53,2824,137,35.71,14,0,0,1,21,2,347,1,1.07
omlfinance.com,com,53,400,3,100,3,0,0,1,4,1,0,1,1.4
bitcohash.biz,biz,53,380,13,100,5,4,1,1,6,0,0,1,5
sixty.cc,cc,53,12486,56,100,5,1,2,1,4,0,0,1,6.5
kayron.biz,biz,53,49063,880,81.25,16,4,10,1,10,4,0,1,3
bitshell.io,io,53,15878,334,68.75,16,16,0,0,18,4,0,1,5.04
hourjar.com,com,53,28034,1596,85.71,21,1,0,1,9,2,0,1,30
hourdream.biz,biz,53,15051,974,93.75,16,3,2,1,15,1,0,1,24
