kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets;31_profit;31_bets
L70N;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;9.86;11;14.3;13;14.3;13
vadimbelinovich;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;12.53;3;7.18;4;11.25;6;5.98;7;5.98;7;10.08;8;24.66;10;24.66;10;18.44;11;18.44;11;18.44;11;18.44;11;12.53;12;12.53;12;;
no_clear_mind;-1.25;8;-1.45;12;1.96;22;6.19;31;16.11;35;2.67;36;3.31;43;-0.82;45;-8.11;49;-15.05;51;-11.66;53;-17.59;58;-16.2;63;-25.1;70;-22.19;71;-19.45;78;-19.45;78;-10.15;81;-0.5;85;-2.47;87;-26.54;93;-20.56;101;-12.65;105;-12.65;105;-4;110;-4;114;4.77;116;-1.28;120;-6.04;126;-5.39;130;15.83;133
Swt37;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;6;0;7;11.6;8;21.9;9;21.9;9;26.57;11;26.57;11;16.07;14;21.87;15;15.8;17;15.8;17;15.8;17;15.8;17;15.8;18;27.35;21;27.35;21;27.35;21
tsitsipas;18.18;10;16.86;18;25.86;24;19.86;32;7.81;37;7.25;40;3.61;48;5.63;57;11.91;63;18.64;64;20.53;65;19.82;67;21.43;68;26.22;71;29.15;74;26.11;75;26.11;75;26.11;75;21.32;80;18.29;81;17.38;84;17.09;87;18.79;91;15.78;92;15.78;92;11.45;97;16.86;98;16.86;98;16.86;98;18.74;99;18.74;99
HotKinkyJo;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;5.89;5;14.1;6;14.1;6;14.1;6;14.1;6;14.1;6;15.5;9;12.92;17;26.95;19;26.95;24;27.68;26;24.5;27;18.27;35;18.27;35;18.64;39
budapest7;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;9.5;6;9.5;6;18.28;12;17.06;15;17.06;15;11.78;22;12.34;27
buxbet;0;1;0;2;0;2;2.75;3;2.75;3;2.75;3;2.75;3;2.75;3;-1.09;4;-1.09;4;-1.09;4;-6.02;7;-6.02;7;-6.02;7;-0.68;8;-0.68;8;-0.68;8;1.8;9;2.84;10;5.45;11;5.45;11;7.97;12;7.97;12;8.93;14;8.93;14;13.91;16;13.91;16;12.97;17;12.97;18;19.82;20;15.14;23
FKSD;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3.1;2;3.1;2;3.1;2;12.83;6;12.83;6;12.83;6;12.83;6;9.45;8;15.38;10;17.5;11;20.73;12;24.75;14;18.54;15
Lil Peep forever;-9.71;3;-9.71;3;-9.71;3;-9.71;3;-9.71;3;-9.71;3;-9.71;3;-7.79;4;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;0.06;8;2.29;13;14.09;14
grigoriysladek6322;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0.33;3;4.77;4;6.64;5;9.29;10;15.24;14
TAHKUCT_u_CO6AKA;0;1;0;1;0;1;0;1;-2.56;5;-6.48;7;-2.91;10;2.14;13;-8.2;15;-6.92;17;-6.92;17;-6.92;17;-9.4;19;-8.08;20;-11.75;21;-6.6;22;-2.98;24;4.58;25;4.58;25;7.06;26;11.56;27;14.3;28;12.01;30;21.08;31;16.24;33;23.99;34;21.51;36;22.42;38;21.44;41;21.44;41;;
bri4er;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5.31;4;11.64;6;10.54;8;10.54;8;7.39;11;7.4;12;7.4;14;16.64;15;10.83;18;11.98;20;9.54;21;0;24
vosmoy 888;0;1;-3.95;2;-7.9;3;-4.86;4;-1.7;5;-1.7;5;-1.7;5;-1.7;5;1.3;6;6.44;7;2.49;8;4.82;9;4.82;9;9.88;10;9.88;10;9.88;10;13.51;11;17.11;12;13.16;13;9.21;15;1.3;16;1.3;16;6.8;17;9.48;18;9.48;18;9.48;18;5.53;19;8.3;20;11.34;21;11.34;21;;
