url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
leader-bet.online,online,108,-1,-1,0,1,7,0,1,0,1,0,0,1.2
tendrops.online,online,108,-1,-1,-1,-1,4,5,0,6,0,-1,1,15
coinscomplex.biz,biz,107,6010,122,0,8,762,601,1,12,0,192,0,2.1
coinbomb.net,net,107,4559,148,83.33,12,751,401,1,10,2,19,1,1.2
roly-investment.org,org,107,3495,41,100,16,0,0,0,13,0,0,-1,16
solidcryptobank.com,com,107,3322,47,100,6,754,144,1,12,0,0,1,2.21
crypto-lombard.org,org,107,421,11,0,6,0,0,0,2,2,362,-1,2
gip.fund,fund,107,110,3,100,3,757,0,1,9,0,0,-1,0.2
bitxity.com,com,107,-1,-1,50,2,2,0,1,1,0,0,1,4.08
investeex.ru,ru,107,-1,-1,100,1,1,0,1,0,0,0,0,0.8
gtextradefx.com,com,107,-1,-1,-1,-1,0,1,1,5,0,-1,-1,4
keycapital.us,us,107,-1,-1,100,1,36,29,1,0,0,0,1,35
lunarfx.io,io,107,-1,-1,-1,-1,4,0,1,1,0,-1,-1,0.53
bitflexcoin.com,com,107,-1,-1,66.67,3,1,0,1,7,0,0,1,1
hang-coin.com,com,107,-1,-1,-1,-1,0,0,0,0,0,-1,-1,1
weencapital.ru,ru,107,-1,-1,100,1,0,0,0,0,0,0,1,0.4
vitisonfx.com,com,106,115515,1000,100,4,757,17,1,10,0,0,-1,4
foreximperial.biz,biz,106,106439,962,83.33,12,0,0,1,5,3,0,1,33
b2business.ltd,ltd,106,32952,1419,46.15,13,3,1,0,4,1,288,1,1.75
cryptocraze.me,me,106,3100,65,100,4,753,133,1,6,0,0,1,0.6
nanomed-inc.com,com,106,1000,7,100,1,0,0,0,0,0,0,1,1.2
vip-fx.biz,biz,106,300,7,80,5,0,0,0,14,0,0,1,7
boostpaid.com,com,106,-1,-1,0,1,0,0,0,17,0,10,1,2
dexmofound.pro,pro,106,-1,-1,100,1,234,35,1,0,0,0,1,68
brockertrade.com,com,106,-1,-1,-1,-1,2,0,0,1,1,-1,0,1.5
forextader.com,com,106,-1,-1,100,2,0,0,1,6,2,0,-1,1.5
theentrepreneurheadquarters.com,com,106,-1,-1,0,1,0,0,0,0,0,0,0,1.5
imicrobit.com,com,106,-1,-1,100,1,0,0,0,0,0,0,-1,5
beinforbes.club,club,105,33845,419,92.31,13,743,79,1,20,0,0,1,2.35
coffeewealth.net,net,105,22223,374,100,3,0,0,0,4,0,0,1,5
nanoinv.com,com,105,14387,268,12.5,40,0,0,1,30,12,958,1,3
sanextrade.biz,biz,105,4926,401,100,13,5,0,1,8,0,0,1,4.24
techsolfund.com,com,105,3535,27,100,2,751,460,1,3,0,0,1,0.44
dreamwallet.biz,biz,105,2236,7,100,2,10,0,1,4,0,0,1,5.71
cryptomillionaires-bot.com,com,105,227,10,66.67,3,2,3,1,12,1,0,1,7.3
smarttrades.co,co,105,-1,-1,100,1,3,41,0,0,0,0,1,2
oxytrade.net,net,105,-1,-1,100,2,0,0,0,1,0,0,1,0.97
axiwealth.online,online,105,-1,-1,100,1,1,0,0,0,0,0,0,0.5
bitoffice.biz,biz,105,-1,-1,100,1,0,0,0,0,0,0,-1,11
clevertrading24.com,com,105,-1,-1,100,1,0,0,0,0,0,0,-1,0.36
steepshare.com,com,104,228139,7020,80,15,0,0,0,17,0,0,1,1.5
profitablegrowth.loan,loan,104,108165,1008,100,7,752,273,1,0,0,0,1,2
amazing-coin.net,net,104,48861,819,100,5,751,258,1,4,1,0,1,1
arbingbet.com,com,104,22321,101,88.89,9,10,0,1,6,3,0,1,2.4
dragoneggs.one,one,104,14294,79,75,8,0,0,0,4,3,0,-1,0.73
latypay.com,com,104,4721,61,44.44,27,0,0,0,10,26,0,1,4.8
7btc.io,io,104,400,5,75,4,0,0,1,1,2,0,1,9.12
hash-craft.com,com,104,247,4,75,4,0,0,0,11,0,0,-1,1.5
bit-legend.com,com,104,37,1,83.33,6,0,0,0,8,0,0,-1,0.55
ritrexcapital.com,com,104,20,2,0,7,3,2,1,15,0,80,0,1.5
dailycashearn.pw,pw,104,-1,-1,100,1,13,38,1,0,0,0,1,12.53
investatlantic.biz,biz,104,-1,-1,100,5,0,2,1,7,0,0,1,400
forexhour.cc,cc,104,-1,-1,100,1,0,0,0,0,0,0,-1,-1
profit.foundation,foundation,103,100669,220,44,25,0,0,1,14,11,761,1,2.6
onepunchltd.com,com,103,93895,940,87.5,16,0,0,0,12,0,0,1,9.29
lifepay.biz,biz,103,61599,3059,83.33,6,0,3,1,4,0,0,1,25.92
mars-mining.net,net,103,28873,798,100,1,0,0,0,3,0,0,1,1.5
1s.is,is,103,10785,312,100,1,0,0,0,1,0,0,-1,5.06
nexmus-group.com,com,103,6640,30,28.57,7,0,0,0,2,7,100,0,0.36
toprange.cc,cc,103,5332,79,100,6,756,135,1,12,0,0,1,1.2
dotbank.top,top,103,2740,32,100,4,2,0,0,8,1,0,-1,5.71
bitty.tech,tech,103,370,17,100,1,0,0,0,2,0,0,1,52.8
mmmpo.me,me,103,-1,-1,33.33,3,704,531,1,11,1,1,0,1
freerisecom.com,com,103,-1,-1,0,1,0,0,0,0,1,0,-1,0.5
dogebank.io,io,103,-1,-1,50,2,2,1,0,1,0,0,1,3
goldsure.cc,cc,103,-1,-1,-1,-1,7,4,1,0,0,-1,1,18.3
rtcapitalbank.com,com,103,-1,-1,100,1,700,0,1,15,0,0,1,0.35
superhyip.trade,trade,103,-1,-1,50,2,0,0,0,0,0,0,-1,1
skydrone.cc,cc,102,93254,1512,78.13,32,0,0,0,19,11,0,1,1.5
moriart.io,io,102,1289,13,58.33,12,1,0,0,9,13,999,-1,1
skvsak.biz,biz,102,1006,31,87.5,8,737,164,1,16,3,0,1,1.3
ros.finance,finance,102,265,5,88.89,9,2,0,0,10,11,0,-1,0.5
cforex.club,club,102,20,2,100,1,0,0,0,3,0,0,-1,4
relax-invest.ru,ru,102,-1,-1,0,1,0,0,0,0,0,10,1,50
lazur.pro,pro,102,-1,-1,-1,-1,0,0,0,9,0,-1,-1,7
hotelmagnate.pro,pro,102,-1,-1,-1,-1,0,0,0,3,0,-1,-1,1.13
ethlus.io,io,102,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1
bitpaylolly.com,com,102,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1
forex-funds.com,com,102,-1,-1,100,1,17,0,1,0,0,0,1,80
deltawest.club,club,102,-1,-1,100,1,0,0,0,0,0,0,-1,1
cryptofinancial.ltd,ltd,102,-1,-1,100,2,2,0,1,0,0,0,1,1
binarycclimited.com,com,102,-1,-1,100,2,17,0,1,0,0,0,1,1
hourspayday.com,com,101,143327,10587,4.17,24,0,0,0,20,5,338,1,51.6
lavi-hotel.com,com,101,21317,261,70,10,0,0,1,15,2,0,1,1.5
coinshourly.biz,biz,101,17771,859,93.75,16,20,9,1,10,0,0,1,84.48
ruizcoin.biz,biz,101,12216,183,78.26,46,0,0,1,19,8,19,-1,2.14
earnsprofit.com,com,101,10489,741,100,8,48,0,0,10,0,0,1,96
bitexprofit.com,com,101,4761,113,75,8,0,0,0,8,0,0,1,150
hourlydrops.com,com,101,3412,48,75,4,19,52,1,7,0,0,1,4.8
vaviloncapital.com,com,101,1056,28,100,5,747,407,1,10,0,0,1,2.1
sport-futureltd.com,com,101,-1,-1,-1,-1,0,0,1,0,0,-1,1,2.8
kvanta.biz,biz,101,-1,-1,-1,-1,0,0,0,1,0,-1,1,777
mutualprofit.co,co,101,-1,-1,100,2,0,0,0,0,0,0,1,1
hodium.com,com,100,44215,1067,28.57,21,0,0,1,8,5,2,-1,0.1
usdhour.com,com,100,26253,1570,77.78,9,3,0,0,5,0,0,1,34.32
bitexa.net,net,100,24329,63,13.04,23,0,0,0,5,12,1,-1,0.5
elixbit.com,com,100,21994,231,22.58,31,0,0,1,20,4,457,1,10
cashdollars.net,net,100,21202,135,100,16,28,10,1,10,0,0,1,1.5
successful-traders.com,com,100,7760,143,85,20,0,0,0,14,0,0,1,88
tendtrade.com,com,100,4025,33,100,2,0,1,0,11,0,0,-1,25
ialyeo.com,com,100,3320,10,100,1,7,180,0,0,0,0,1,0.7
fxdsolutions.biz,biz,100,950,18,100,5,750,483,1,10,0,0,1,2.2
